   Compiling localmotive v0.6.0 (C:\Users\Mubarak\Documents\Projects\localmotive\src-tauri)
test catalog::tests::refresh_cooldown_blocks_until_1560_minutes_pass_then_releases ... ok
test artifact::tests::streams_sha256_without_loading_the_artifact ... ok
test catalog::tests::rich_facets_list_authors_licenses_pipelines_and_architectures ... ok
test catalog::tests::s07_legacy_cleanup_failures_become_a_visible_notice ... ok
test catalog::tests::s07_hf_token_input_is_bounded_before_validation_and_never_echoed ... ok
test catalog::tests::s25_catalog_pipeline_measurement ... ignored, measurement harness: run explicitly with --release --ignored --nocapture
test catalog::tests::s10_retry_after_values_are_bounded_and_parsed_from_both_forms ... ok
test catalog::tests::token_validation_names_the_problem_and_the_fix ... ok
test catalog::tests::snake_file_keys_parse_to_real_values ... ok
test catalog::tests::s05_shared_fixture_cases_agree_with_the_javascript_validator ... ok
test artifact::tests::reports_an_unreadable_shard_header_without_claiming_completeness ... ok
test artifact::tests::rejects_conflicting_required_headers_across_shards ... ok
test artifact::tests::inspects_a_complete_split_artifact_with_exact_file_facts ... ok
test artifact::tests::keeps_companion_file_facts_and_bytes_separate ... ok
test artifact::tests::logical_identity_is_stable_when_full_hashes_are_requested ... ok
test catalog::tests::refresh_stamp_round_trips_through_the_cache_dir ... ok
test catalog::tests::network_catalogs_require_a_valid_maintainer_signature ... ok
test catalog_db::tests::dc05_curator_id_collision_is_rejected_and_curated_rows_survive ... ok
test catalog_db::tests::migrations_stamp_the_schema_version ... ok
test catalog_db::tests::dc06_validation_rejects_long_and_duplicate_metadata_before_mutation ... ok
test catalog_db::tests::corrupt_database_recovery_rebuilds_quarantines_and_reports ... ok
test catalog_db::tests::dc05_filename_collisions_with_curated_or_other_user_rows_are_rejected ... ok
test catalog_db::tests::dc06_edit_replaces_the_complete_file_set ... ok
test catalog_persistence_source_tests::dc03_fetch_holds_the_shared_refresh_guard_for_the_whole_refresh ... ok
test catalog_persistence_source_tests::dc03_fetch_mirrors_healthy_databases_and_only_recovers_after_migration_failure ... ok
test cloud::tests::callback_request_line_yields_code ... ok
test cloud::tests::chat_without_a_stored_key_fails_before_any_network_call ... ok
test catalog_db::tests::mirror_stores_verified_models_and_reads_them_back ... ok
test catalog_db::tests::dc05_refresh_never_relabels_or_steals_user_owned_files ... ok
test cloud::tests::cld01_request_line_contract_is_strict_and_decoded ... ok
test catalog_db::tests::user_override_rejects_bad_repos_missing_digests_and_oversize_text ... ok
test cloud::tests::credentials_are_stored_trimmed_and_reported_masked_never_plaintext ... ok
test cloud::tests::every_provider_has_an_openai_compatible_base_and_unique_id ... ok
test catalog_db::tests::user_override_is_marked_and_survives_network_refresh ... ok
test cloud::tests::model_list_parsing_handles_openai_and_gemini_shapes ... ok
test cloud::tests::pkce_challenge_is_s256_of_verifier_and_auth_url_is_encoded ... ok
test cloud::tests::reply_extraction_handles_string_content_part_arrays_and_errors ... ok
test catalog_command_tests::dc07_database_open_and_migration_failures_select_verified_rows ... ok
test cloud::tests::s21_contract_fixtures_cover_every_provider_and_case ... ok
test catalog_db::tests::user_override_remove_never_touches_network_rows ... ok
test catalog::tests::cache_readers_wait_until_a_cache_publication_finishes ... ok
test cloud::tests::s21_retry_after_is_bounded_and_tolerant ... ok
test core::tests::backend_ops_record_keeps_counts_separate_and_fails_unexpected_skips ... ok
test core::tests::benchmark_option_bounds_match_the_visible_workload_contract ... ok
test catalog_db::tests::recovery_salvages_user_rows_from_an_unsupported_newer_schema ... ok
test core::tests::benchmark_summary_even_mixed_extremes_keep_the_expected_median ... ok
test core::tests::benchmark_summary_keeps_extreme_finite_samples_numeric_in_json ... ok
test core::tests::benchmark_summary_preserves_mixed_extreme_samples ... ok
test core::tests::benchmark_summary_reports_stable_statistics ... ok
test core::tests::benchmark_summary_still_rejects_invalid_samples ... ok
test core::tests::cancelled_work_leaking_a_process_or_file_fails_cleanup ... ok
test core::tests::capability_parser_uses_runtime_help_as_truth ... ok
test cloud::tests::s21_oversized_response_terminates_with_the_cap_error ... ok
test core::tests::fe04_provisional_command_composes_without_capabilities_and_validation_still_filters ... ok
test core::tests::benchmark_rejects_unbounded_tokens_before_any_http_request ... ok
test core::tests::free_port_prefers_the_requested_one_then_walks_upward ... ok
test core::tests::launch_argument_validation_explains_each_rejected_flag ... ok
test core::tests::launch_argument_validation_rejects_an_unsupported_required_model_flag ... ok
test core::tests::launch_profile_input_bounds_reject_oversize_strings_and_splits ... ok
test core::tests::launch_profile_recognizes_the_ip_loopback_ranges ... ok
test core::tests::launch_profile_rejects_dns_hosts_that_could_resolve_off_machine ... ok
test core::tests::launch_profile_rejects_port_zero ... ok
test core::tests::launch_profile_rejects_wildcard_cors_without_authentication ... ok
test core::tests::manifest_arguments_do_not_expose_generated_draft_and_adapter_paths ... ok
test core::tests::launch_rejects_a_speculative_value_missing_from_the_inspected_help ... ok
test core::tests::manifest_arguments_fingerprint_sensitive_path_values ... ok
test core::tests::manifest_arguments_redact_direct_api_keys ... ok
test core::tests::manifest_arguments_fingerprint_all_managed_model_paths ... ok
test core::tests::manifest_replay_handles_inline_paths_without_trusting_fingerprint_text ... ok
test core::tests::manifest_replay_matches_legacy_paths_but_not_changed_inputs ... ok
test catalog::tests::cache_body_and_etag_are_published_as_one_consistent_record ... ok
test catalog::tests::s06_ipc_payload_bounds_reject_oversized_before_aggregation ... ok
test core::tests::companions_of_one_role_are_ranked_so_the_closest_quant_leads ... ok
test core::tests::mt15_duplicate_indices_and_unsplit_collisions_are_incomplete ... ok
test core::tests::mt06_managaged_transport_flags_require_runtime_capability ... ok
test core::tests::parse_capabilities_strips_control_characters_from_real_version_output ... ok
test catalog::tests::shipped_signature_verifies_after_crlf_checkout_normalization ... ok
test core::tests::pinned_backend_smoke_records_pass_phase3_health_decisions ... ok
test core::tests::pinned_cpu_device_list_passes_cpu_health_only ... ok
test core::tests::mt15_extension_case_variation_and_valid_sets_stay_complete ... ok
test core::tests::pinned_cuda_device_list_passes_cuda_health ... ok
test core::tests::pinned_smoke_cancellation_record_releases_work_cleanly ... ok
test core::tests::pinned_smoke_model_provenance_license_size_and_digest_are_recorded ... ok
test core::tests::pinned_vulkan_device_list_passes_vulkan_health ... ok
test core::tests::port_probe_rejects_an_occupied_port ... ok
test core::tests::profile_builds_explicit_dspark_command ... ok
test core::tests::profile_emits_useful_runtime_and_advanced_options ... ok
test core::tests::profile_rejects_inconsistent_advanced_ranges ... ok
test core::tests::profile_rejects_malformed_gpu_placement_values ... ok
test core::tests::quant_weight_reads_the_primary_label_not_a_provenance_suffix ... ok
test core::tests::raw_extra_argument_count_is_bounded ... ok
test core::tests::raw_extra_argument_length_is_bounded ... ok
test core::tests::raw_extra_arguments_cannot_override_managed_profile_flags ... ok
test core::tests::raw_extra_arguments_reject_inline_secrets_without_echoing_values ... ok
test core::tests::raw_extra_arguments_cannot_override_managed_long_aliases ... ok
test core::tests::raw_extra_arguments_reject_privilege_expanding_runtime_flags ... ok
test core::tests::raw_extra_arguments_require_one_self_contained_option_per_token ... ok
test core::tests::real_model_tree_companion_order ... ignored
test core::tests::mt15_malformed_and_inconsistent_shard_names_are_incomplete ... ok
test core::tests::runtime_filter_accepts_a_supported_equals_form_option ... ok
test core::tests::mt06_profile_validation_rejects_unusable_transport_files_before_launch ... ok
test core::tests::raw_file_arguments_cannot_bypass_empty_profile_fields ... ok
test core::tests::runtime_filter_omits_options_not_advertised_by_selected_build ... ok
test core::tests::non_loopback_profile_requires_authentication_and_restricted_cors ... ok
test core::tests::runtime_help_digest_preserves_exact_probe_bytes ... ok
test core::tests::runtime_health_rejects_version_success_without_device_evidence ... ok
test core::tests::runtime_probe_uses_the_contained_process_runner ... ok
test core::tests::s13_impossible_profile_domains_fail_before_launch_and_name_the_value ... ok
test core::tests::s14_quoted_commands_and_argv_round_trip_every_hazard ... ok
test core::tests::s15_deep_wide_unreadable_and_cancelled_scans_stay_bounded_and_partial ... ok
test core::tests::scan_attaches_companion_from_nested_folder_to_parent_target ... ok
test core::tests::scan_attaches_companion_from_sibling_folder_in_same_family ... ok
test catalog::tests::shipped_catalog_file_is_valid ... ok
test core::tests::scan_groups_complete_shards_and_marks_companions ... ok
test core::tests::scan_rejects_conflicting_expected_shard_counts ... ok
test core::tests::silent_cpu_fallback_fails_accelerator_health ... ok
test core::tests::timing_parser_accepts_llama_completion_response ... ok
test core::tests::wrong_device_model_fails_health_without_silent_substitution ... ok
test download::tests::a_pre_cancelled_download_does_not_start_network_io ... ok
test download::tests::a_range_response_never_writes_past_its_chunk ... ok
test download::tests::a_server_that_ignores_ranges_is_rejected_for_parallel_chunks ... ok
Junction created for C:\Users\Mubarak\AppData\Local\Temp\localmotive-scan-root-1789867705912519400\junction <<===>> C:\Users\Mubarak\AppData\Local\Temp\localmotive-scan-outside-1789867705912519400
test core::tests::scan_does_not_follow_a_directory_reparse_point ... ok
test core::tests::runtime_inspection_rejects_a_failed_version_probe ... ok
test cloud::tests::loopback_callback_receives_code_from_a_browser_like_client ... ok
test download::tests::an_open_directory_handle_must_match_the_validated_path ... ok
test download::tests::an_open_download_directory_cannot_be_redirected_by_path_replacement ... ok
test download::tests::an_interrupted_download_resumes_from_existing_bytes ... ok
test catalog_command_tests::dc01_local_load_without_a_cache_publishes_the_bundled_catalog ... ok
test cloud::tests::cld01_probes_and_bad_requests_do_not_end_the_login ... ok
test download::tests::chunks_tile_the_file_exactly_with_no_gap_or_overlap ... ok
test download::tests::content_range_must_match_requested_span_and_total ... ok
test download::tests::cancellation_fixture_serves_probes_beside_an_idle_connection ... ok
test catalog::tests::concurrent_cache_refreshes_never_mix_a_body_with_another_etag ... ok
test core::tests::rt02_tampered_managed_server_never_executes_through_runtime_inspection ... ok
test download::tests::dc11_a_conflicting_target_preserves_both_files ... ok
test download::tests::dc11_a_fresh_lock_refuses_a_second_writer ... ok
test download::tests::dc11_a_part_swapped_after_verification_is_not_published ... ok
test download::tests::dc11_an_unchanged_part_publishes_without_replacing ... ok
test catalog::tests::dc01_local_load_reports_the_full_cooldown_after_a_clock_rollback ... ok
test download::tests::dc12_checkpoint_publication_is_ordered_after_a_data_sync ... ok
test download::tests::dc12_shared_write_mutex_throughput ... ignored, DC-12.I4 measurement: shared write-mutex/seek throughput
test download::tests::every_range_response_is_bound_to_the_probed_remote_identity ... ok
test download::tests::every_transfer_response_must_match_all_probed_validators ... ok
test download::tests::existing_files_are_reused_only_when_remote_identity_matches ... ok
test catalog::tests::dc01_local_load_serves_the_signed_cache_with_the_cooldown_and_no_refresh_error ... ok
test download::tests::hard_links_are_never_safe_write_targets ... ok
test download::tests::linked_headers_win_over_pointer_headers ... ok
test core::tests::rt02_tampered_managed_cli_never_executes_through_the_runtime_health_workflow ... ok
test download::tests::opened_download_files_report_their_hard_link_count ... ok
test download::tests::oversized_resume_sidecar_is_rejected_before_deserialization ... ok
test download::tests::plain_headers_are_used_when_no_linked_headers_exist ... ok
test download::tests::progress_arithmetic_never_divides_by_zero ... ok
test download::tests::ranged_probe_uses_content_range_total_instead_of_one_byte_content_length ... ok
test download::tests::rebase_download_url_preserves_the_canonical_url_without_the_profile ... ok
test download::tests::rebase_download_url_rewrites_the_health_model_path_onto_the_loopback_fixture ... ok
test download::tests::reparse_points_and_symlinks_are_never_safe_write_targets ... ok
test download::tests::resolve_url_builds_the_documented_endpoint ... ok
test download::tests::resolve_url_honors_the_loopback_fixture_inside_the_verifier_profile ... ok
test download::tests::resolve_url_percent_encodes_path_segments ... ok
test download::tests::resolve_url_stays_canonical_outside_the_verifier_profile ... ok
test download::tests::resume_geometry_rejects_overflowing_overlapping_spans ... ok
test catalog::tests::s09_cache_publication_keeps_the_handle_and_retains_last_good ... ok
test download::tests::resume_identity_binds_digest_and_last_modified ... ok
test download::tests::resume_is_refused_when_the_remote_file_changed ... ok
test download::tests::resume_metadata_cannot_exceed_the_requested_worker_limit ... ok
test download::tests::resume_requires_etag_presence_to_stay_consistent ... ok
test download::tests::resume_sidecar_never_overwrites_a_precreated_hard_link ... ok
test download::tests::resume_without_an_etag_still_requires_the_same_url ... ok
test catalog::tests::dc07_a_validly_signed_future_schema_never_replaces_the_supported_cache ... ok
test download::tests::s08_redirect_policy_defines_schemes_and_hosts ... ok
test download::tests::scripted_server_terminates_without_any_client_connection ... ok
test download::tests::sha256_matches_a_known_digest ... ok
test download::tests::small_files_use_one_connection_and_empty_files_none ... ok
test download::tests::resume_state_survives_a_round_trip_through_disk ... ok
test download::tests::status_explanations_tell_the_user_what_to_do ... ok
test catalog_command_tests::dc01_local_load_publishes_state_inside_the_cooldown_and_authorizes_downloads ... ok
test evidence::tests::complete_manifest_requires_a_launch_snapshot ... ok
test evidence::tests::complete_manifest_requires_a_model_identity ... ok
test evidence::tests::complete_manifest_requires_a_runtime_snapshot ... ok
test evidence::tests::derived_evidence_propagates_an_unknown_required_input ... ok
test evidence::tests::estimated_result_class_remains_distinct_from_preflight ... ok
test evidence::tests::evidence_rejects_a_zero_observation_timestamp ... ok
test catalog::tests::fetch_catalog_succeeds_end_to_end_against_a_served_signed_pair ... ok
test evidence::tests::finite_validation_rejects_nan_and_infinity ... ok
test evidence::tests::heuristic_evidence_cannot_be_relabelled_as_observed ... ok
test evidence::tests::known_evidence_requires_a_value ... ok
test evidence::tests::launch_fact_accepts_unknown_effective_context_evidence ... ok
test evidence::tests::launch_fact_rejects_ubatch_larger_than_batch ... ok
test evidence::tests::launch_fact_rejects_zero_effective_context ... ok
test evidence::tests::manifest_rejects_a_future_schema ... ok
test evidence::tests::manifest_requires_a_harness_identity ... ok
test evidence::tests::public_contracts_serialize_with_camel_case_fields_and_values ... ok
test evidence::tests::runtime_fact_from_a_real_version_output_validates ... ok
test evidence::tests::s12_scope_notes_survive_the_manifest_round_trip_and_default_honestly ... ok
test evidence::tests::sha256_validation_requires_lowercase_hex ... ok
test evidence::tests::unknown_evidence_has_no_value_and_names_the_missing_fact ... ok
test evidence::tests::unknown_evidence_rejects_a_value ... ok
test evidence::tests::workload_accepts_the_reproducible_default_protocol ... ok
test evidence::tests::workload_rejects_excessive_concurrency ... ok
test evidence::tests::workload_rejects_zero_trials ... ok
test fe11_download_identity_tests::fe11_download_job_identity_includes_destination_and_revision ... ok
test gguf::tests::captures_companion_identity_metadata_keys ... ok
test gguf::tests::dc08_a_short_file_declaring_a_giant_string_fails_before_allocating ... ok
test download::tests::s08_a_redirect_outside_the_allowed_set_fails_with_a_safe_diagnostic ... ok
test fe11_download_identity_tests::fe11_progress_emits_use_the_job_identity_helper ... ok
test gguf::tests::dc08_arrays_are_skipped_by_shape_and_bounded_by_element_and_depth_budgets ... ok
test gguf::tests::dc08_cancellation_and_truncation_produce_prompt_errors ... ok
test gguf::tests::dc08_kv_key_and_count_budget_failures_are_deterministic ... ok
test gguf::tests::reads_architecture_facts_from_metadata_only ... ok
test gguf::tests::dc08_truncated_prefixes_fail_cleanly_and_valid_headers_stay_useful ... ok
test gguf::tests::preserves_relevant_scalar_and_array_metadata_shapes ... ok
test gguf::tests::rejects_an_allocation_before_it_crosses_the_header_bound ... ok
test gguf::tests::rejects_non_gguf_files ... ok
test gguf::tests::reads_bounded_tensor_descriptors_without_tensor_payload ... ok
test gguf::tests::s02_split_metadata_is_read_when_present_and_stays_unknown_when_absent ... ok
test health::tests::benchmark_requires_both_workloads_on_the_expected_backend ... ok
test gguf::tests::reads_from_disk_without_touching_tensor_bytes ... ok
test health::tests::changed_pinned_model_is_rejected_before_any_runtime_process_lookup ... ok
test health::tests::completion_pass_requires_every_deterministic_field ... ok
test health::tests::device_discovery_maps_the_selected_dxgi_adapter_to_one_llama_device ... ok
test health::tests::final_health_record_rejects_missing_or_reordered_stages ... ok
test health::tests::health_cleanup_removes_the_isolated_temporary_tree ... ok
test health::tests::health_contract_has_exactly_seven_ordered_stages ... ok
test health::tests::health_failure_details_carry_no_secret_or_private_path ... ok
test health::tests::health_listener_must_belong_to_the_expected_process ... ok
test health::tests::health_resource_limits_match_the_reviewed_contract ... ok
test health::tests::health_run_result_carries_the_defined_completion_shape ... ok
test health::tests::health_servers_bind_loopback_only_and_never_wildcard ... ok
test health::tests::loopback_server_is_contained_before_user_code_can_run ... ok
test health::tests::qualify_managed_runtime_on_current_host ... ignored, downloads approved artifacts and executes the exact runtime on current hardware
test health::tests::rt03_a_completion_finishing_at_cancellation_is_never_reported_as_passed ... ok
Junction created for C:\Users\Mubarak\AppData\Local\Temp\localmotive-gguf-junction-827932-14895252663233594730\linked <<===>> C:\Users\Mubarak\AppData\Local\Temp\localmotive-gguf-junction-827932-14895252663233594730\outside
test catalog::tests::s09_persistence_failures_are_surfaced_while_fresh_data_is_served ... ok
test gguf::tests::summary_read_refuses_a_junction_ancestor_before_parsing ... ok
test core::tests::runtime_inspection_rejects_excessive_probe_output ... ok
test health::tests::rt03_the_supervised_request_still_returns_normal_responses ... ok
test ipc01_startup_tests::ipc01_startup_commit_requires_the_operation_to_still_own_the_slot ... ok
test ipc01_startup_tests::ipc01_startup_never_holds_the_server_lock_across_the_readiness_wait ... ok
test ipc_contract_tests::s18_shared_ipc_contract_fixture_matches_rust_serialization ... ok
test ipc01_startup_tests::ipc01_expensive_commands_run_on_blocking_workers ... ok
test catalog::tests::s10_validator_semantics_are_strict_and_weak_etags_are_never_replayed ... ok
test catalog::tests::s06_the_mirror_read_refuses_an_oversized_row_set ... ok
test catalog::tests::dc01_local_load_uses_bundled_data_for_missing_corrupt_or_untrusted_caches ... ok
test local_client::tests::manual_tls_probe ... ignored, manual packaged TLS probe against a live local server
test local_client::tests::mt06_api_key_file_is_read_in_rust_and_redacted_in_debug ... ok
test local_client::tests::mt06_api_key_protected_completion_sends_the_bearer_header ... ok
test catalog::tests::dc07_oversized_close_delimited_stream_keeps_the_cache_with_a_bounded_read ... ok
test local_client::tests::mt06_chunked_json_response_is_decoded ... ok
test local_client::tests::mt06_error_statuses_reach_the_caller_without_panicking ... ok
test local_client::tests::mt06_invalid_hosts_and_ports_are_rejected ... ok
test local_client::tests::mt06_missing_or_empty_or_multiline_key_files_are_rejected ... ok
test local_client::tests::mt06_oversized_response_is_rejected ... ok
test local_client::tests::mt06_plain_client_normalizes_hosts_and_brackets_ipv6 ... ok
test local_client::tests::mt06_trusted_local_tls_certificate_is_accepted ... ok
test local_client::tests::a_cancel_set_before_response_acceptance_discards_the_received_result ... ok
test local_client::tests::mt06_untrusted_certificate_is_rejected_with_verification_enabled ... ok
test catalog::tests::dc10_expired_and_replayed_signed_catalogs_keep_the_cache ... ok
test local_client::tests::r10_transport_validation_parses_real_x509_and_matches_the_pair ... ok
test download::tests::dc12_cancelled_existing_file_verification_keeps_the_file_and_retry_reverifies ... ok
test local_client::tests::r15_bounded_file_reads_are_enforced_by_the_read_not_a_metadata_precheck ... ok
test local_client::tests::r15_the_request_body_serializes_through_a_bounded_writer ... ok
test download::tests::a_server_that_ignores_ranges_restarts_a_partial_file_from_zero ... ok
test local_client::tests::r16_a_raw_sec1_private_key_is_parsed_and_matched ... ok
test log_sink::tests::drain_caps_the_file_and_keeps_the_newest_lines ... ok
test log_sink::tests::failure_evidence_survives_log_pruning ... ok
test catalog::tests::dc07_truncated_invalid_utf8_and_malformed_signature_candidates_keep_the_cache ... ok
test log_sink::tests::two_streams_share_one_quota ... ok
test log_sink::tests::unique_run_ids_and_creation_refuse_collisions_and_links ... ok
test log_sink::tests::pruning_bounds_the_directory_and_keeps_newest_failure_evidence ... ok
test measurement::tests::cold_harness_executes_one_fresh_runtime_callback_per_attempt ... ok
test measurement::tests::completion_request_rejects_a_generation_token_count_mismatch ... ok
test measurement::tests::completion_request_rejects_a_prompt_token_count_mismatch ... ok
test measurement::tests::completion_request_sends_the_exact_prompt_token_target ... ok
test measurement::tests::completion_request_uses_the_fixed_workload_protocol ... ok
test measurement::tests::completion_timing_keeps_prefill_decode_and_derived_ttft_distinct ... ok
test measurement::tests::in_flight_cancellation_stops_the_current_trial_once ... ok
test core::tests::runtime_inspection_times_out_a_stalled_probe ... ok
test measurement::tests::metric_summary_extremes_serialize_as_numbers ... ok
test measurement::tests::metric_summary_preserves_subnormal_medians ... ok
test measurement::tests::metric_summary_remains_finite_for_large_finite_observations ... ok
test measurement::tests::metric_summary_reports_median_separately_from_nearest_rank_p50 ... ok
test measurement::tests::manifest_persistence_is_atomic_and_round_trips_raw_observations ... ok
test measurement::tests::mt01_warm_cache_reuse_is_counted_against_processed_plus_cached_tokens ... ok
test measurement::tests::mt01_inconsistent_or_missing_cache_accounting_is_rejected ... ok
test measurement::tests::mt12_oversize_failure_text_is_bounded_at_acquisition_with_a_visible_marker ... ok
test measurement::tests::mt12_successful_observations_survive_a_later_oversize_failure ... ok
test measurement::tests::r03_a_cancel_during_the_final_trial_discards_the_accepted_success ... ok
test measurement::tests::r03_a_cancel_during_the_only_warmup_discards_the_accepted_success ... ok
test measurement::tests::replay_accepts_old_and_new_path_encodings_for_the_same_current_arguments ... ok
test measurement::tests::replay_rejects_a_changed_compatibility_identity ... ok
test measurement::tests::replay_rejects_a_changed_launch_command ... ok
test measurement::tests::sequential_harness_rejects_cold_cache_without_a_fresh_runtime ... ok
test measurement::tests::sequential_harness_rejects_unimplemented_concurrency ... ok
test measurement::tests::summary_keeps_failed_trials_without_discarding_valid_statistics ... ok
test measurement::tests::summary_rejects_an_outcome_that_conflicts_with_raw_error_evidence ... ok
test measurement::tests::summary_rejects_non_finite_raw_observations ... ok
test measurement::tests::warm_cache_trials_record_the_declared_prompt_count ... ok
test measurement::tests::workload_runner_executes_warmups_and_preserves_trial_failures ... ok
test measurement::tests::workload_runner_preserves_process_memory_source_evidence ... ok
test measurement::tests::workload_runner_preserves_warmup_failure_as_a_terminal_outcome ... ok
test measurement::tests::workload_runner_records_cancellation_before_the_next_trial ... ok
test measurement_service::legacy_ownership_tests::fixture_server ... ignored, contained HTTP fixture; invoked explicitly by legacy ownership tests
test measurement::tests::prepared_prompt_tokens_are_reused_across_measured_trials ... ok
test health::tests::rt03_cancel_terminates_a_pending_completion_within_the_bound ... ok
test measurement_service::legacy_ownership_tests::legacy_client_failure_does_not_publish_a_slot_or_keep_ownership ... ok
test measurement_service::lora_identity_tests::lora_identity_binds_order_duplicates_and_later_file_bytes ... ok
test measurement_service::lora_identity_tests::lora_identity_includes_scaled_entries_beside_ordinary_entries ... ok
test measurement_service::lora_identity_tests::lora_identity_preserves_empty_and_single_ordinary_digests ... ok
test local_client::tests::r15_a_redirect_is_not_followed_and_the_client_fails_the_call ... ok
test measurement_service::lora_identity_tests::lora_identity_rejects_malformed_lists_and_unreadable_files ... ok
test measurement_service::lora_identity_tests::scaled_lora_snapshot_reads_the_adapter_and_binds_its_scale ... ok
test measurement_service::r16_ownership_tests::f9_02_a_client_construction_failure_leaves_the_benchmark_slot_free ... ok
test measurement_service::r16_ownership_tests::f9_02_a_refused_caller_never_replaces_the_occupants_state ... ok
test measurement_service::lora_identity_tests::lora_identity_refuses_a_junction_ancestor ... ok
test measurement_service::r16_ownership_tests::r16_the_drain_bound_follows_the_workload_request_deadline ... ok
test operation_coordinator_tests::mt05_a_stale_reservation_cannot_release_or_finalize_a_replacement ... ok
test operation_coordinator_tests::mt05_every_launching_command_reserves_the_operation_slot ... ok
test operation_coordinator_tests::mt05_one_operation_owns_the_machine_and_generations_advance ... ok
test operation_coordinator_tests::mt05_stop_rejects_while_another_owner_holds_the_machine ... ok
test override_authority_tests::dc04_curated_authority_wins_and_unknown_rows_never_authorize ... ok
test measurement_service::legacy_ownership_tests::legacy_command_rejects_an_overlapping_request_before_http ... ok
test preflight::tests::calculates_dense_kv_bytes_only_from_complete_terms ... ok
test preflight::tests::classifies_preflight_likely_only_after_named_reserve_fits ... ok
test preflight::tests::device_plan_is_explicit_for_one_device_and_unknown_for_multiple_devices ... ok
test preflight::tests::disk_capacity_uses_the_selected_artifact_volume ... ok
test preflight::tests::exact_storage_footprint_uses_deduplicated_volume_facts ... ok
test preflight::tests::gpu_preflight_without_verified_runtime_topology_is_unknown ... ok
test preflight::tests::loaded_memory_proxy_overflow_does_not_erase_exact_storage ... ok
test preflight::tests::names_each_missing_kv_term_in_unknown_evidence ... ok
test preflight::tests::preflight_fails_when_requested_context_exceeds_native_context ... ok
test preflight::tests::preflight_labels_file_bytes_as_a_weight_proxy_not_exact_runtime_memory ... ok
test preflight::tests::preflight_report_keeps_storage_memory_and_context_evidence_separate ... ok
test preflight::tests::resident_artifact_footprint_does_not_require_duplicate_free_space ... ok
test preflight::tests::s03_impossible_kv_dimensions_are_rejected_and_overflow_stays_unknown ... ok
test preflight::tests::selected_storage_files_remain_separate_by_volume ... ok
test preflight::tests::unresolved_companion_compatibility_blocks_positive_preflight ... ok
test preflight::tests::unsupported_architecture_kv_layout_is_unknown ... ok
test download::tests::stalled_http_probe_stops_at_the_configured_deadline ... ok
test local_client::tests::mt06_whole_operation_deadline_bounds_a_slow_writer ... ok
